Name,Distance,Rating,Votes,Address
Patanjali Arogya Kendra Next to Welcome Tours Travels Opposite Juhu Church Bus Depot Jvpd Scheme juhu,0.76 KM,3.1,9 Votes,"Parera Apartment ,Ground Floor, Opp Juhu Church Bus Depo ,, Jvpd Scheme-juhu, Mumbai - 400049, Next to Welcome Tours & Travels, Opposite Juhu Church Bus Depot"
Nut Pulse Super Shoppe Opposite Juhu Post Office Juhu,1.25 KM,4.2,123 Votes,"Shop No 6 & 7, A B Nair Road, Juhu, Mumbai - 400049, Opposite Juhu Post Office"
Roman General Stores J V P D Scheme Near Gagandeep Bus Stop Juhu,1.53 KM,3.8,33 Votes,"Shop No 4, Om Satya Deep Society, Gulmohar Cross Road No.7, Juhu, Mumbai - 400049, J V P D Scheme,Near Gagandeep Bus Stop"
Amardeep Grain And Provision Stores Juhu Koliwada,1.73 KM,4.2,6 Votes,"Juhu Ruturaj Co Operative Housing Society, Juhu Road, Juhu Koliwada, Mumbai - 400049"
Malani Stores Ganguli Marg Juhu,1.03 KM,3.0,1 Votes,"Coelhochawl, Behind Royal Hotel, Juhu, Juhu Road, Juhu, Mumbai - 400049, Ganguli Marg"
Juhu General Stores Near Juhu Church Juhu,1.12 KM,3.5,12 Votes,"Shop No.5, Kesar House, Juhu Church Road, Juhu, Mumbai - 400049, Near Juhu Church"
Dhiraj Stores Opposite Hare Rama Krishna Temple Juhu,1.4 KM,4.0,26 Votes,"Near Mukteshwar Temple, Juhu-church Road, Juhu, Mumbai - 400049, Opposite Hare Rama Krishna Temple"
Neeta Store JVPD Scheme Juhu,,4.7,3 Votes,"Opp Sian Rest, JVPD Scheme-Juhu, Mumbai - 400049"
Shah Leeladhar Devji Company Near Juhu Church Market Juhu,1.06 KM,3.9,14 Votes,"G/50, Kesar House, Juhu Church Road, Juhu, Mumbai - 400049, Near Juhu Church & Market"
Central Store Gavthan No 2 Juhu,1.15 KM,4.4,27 Votes,"G/52, Juhu Church Road, Juhu, Mumbai - 400049, Gavthan No 2"
New Anand General Stores Opposite New India Quarters Juhu,0.91 KM,3.0,1 Votes,"Poonam Pearl Biulding, Khan Garage, Andher, C D Barfiwala Road, C D Barfiwala Roadjuhu Road, Juhu, Mumbai - 400049, Opposite New India Quarters"
Mahavir General Store Juhu,,3.6,5 Votes,"Juhu Koliwada, Azad Road, Juhu, Mumbai - 400049"
Jill MIIL Super Store Opp st Josef School Juhu,0.78 KM,2.0,2 Votes,"Shop No.33, Janki Kutir, Juhu Church Road, Juhu, Mumbai - 400049, Opp- st Josef School"
Balaji Medical General Store Near Juhu Post Office Juhu,1.24 KM,3.9,32 Votes,"Shop No.05, Sutari House, A B Nair Road, Juhu, Mumbai - 400049, Near Juhu Post Office"
Krishna Stores Opposite Juhu Bus Stop Juhu,1.16 KM,3.4,5 Votes,"G O House, Juhu Church Road, Juhu, Mumbai - 400049, Opposite Juhu Bus Stop"
Shah Jayantilal Medical Stores Near Hare Krishna Temple Juhu,1.2 KM,3.1,4 Votes,"Gosar Niwas, Juhu Church Road, Juhu, Mumbai - 400049, Near Hare Krishna Temple"
Shree Neelam Stores Near Juhu Chruch Near Iskcon Temple Juhu,1.45 KM,3.9,12 Votes,"Shop No 01,, Gandhigram Road, Juhu, Mumbai - 400049, Near Juhu Chruch, Near Iskcon Temple"
Khimasia General Stores Opp Costa Coffee Lane Juhu,1.53 KM,4.3,11 Votes,"Shop No-04, Gandeep Building, Gulmohar Cross Road No-07, Juhu, Mumbai - 400049, Opp Costa Coffee Lane"
Western General Stores Juhu,,,0 Votes,"T-11, Bma Menezer Chaw, Juhu, Mumbai - 400049"
Sofia General Store Behind Royal Hotel Juhu,,,0 Votes,"Juhu, Mumbai - 400049, Behind Royal Hotel"
Manjunath Store Juhu,,,0 Votes,"Tiranga Biding, Shop No - 004,, Juhu Village, Vashi,, Juhu, Mumbai - 400049"
Guruswami General Store Juhu,0.29 KM,4.0,6 Votes,"Nehru Nagar, Airport Area, Juhu, Mumbai - 400049"
Dhiraj Enterprises Vile Parle W Juhu,,,0 Votes,"Juhu Scheme, Opp N.m College, N.s Road No 1, Juhu, Mumbai - 400049, Vile Parle,(W)"
Jagat General Store Opp J W Marriott Hotel Juhu,0.43 KM,,0 Votes,"Shop no.6, Juhu Tara Road, Juhu, Mumbai - 400049, Opp. J. W. Marriott Hotel"
Laxmichand Ganji Company Gavthan No 2 Near Read Sure Library Juhu,0.83 KM,5.0,1 Votes,"R/243, Juhu Church Rd, Juhu, Mumbai - 400049, Gavthan No 2, Near Read Sure Library"
Waghela Stores Opp Juhu Club Juhu,0.83 KM,,0 Votes,"Juhu Church Shop No 23, Road No 13, Juhu, Mumbai - 400049, Opp Juhu Club"
Fabz General Stores Nr Juhu Bus Depot Juhu,0.85 KM,5.0,1 Votes,"Juhu, Mumbai - 400049, Nr Juhu Bus Depot"
Fabz General Store Near Juhu Church Juhu,0.89 KM,,0 Votes,"Shop No 1, A B Naiar Road, Juhu, Mumbai - 400049, Near Juhu Church"
